Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2021-02-05,74958.96875,75407.8248502994,74061.2565494012,74599.88386976048,18036835
2021-02-08,74510.109375,75587.3639683735,74510.109375,75228.27910391566,15338765
2021-02-09,74240.7890625,76125.98443168077,74240.7890625,75407.81476723096,20898332
2021-02-10,73253.3125,74151.0246629902,73253.3125,74151.0246629902,23025766
2021-02-15,75587.3671875,75856.68084731295,74779.42620806117,75228.28230774941,23529706
2021-02-16,76215.765625,77203.24904299175,75587.36708627797,75856.68074573026,20483100
2021-02-17,74689.6640625,75587.3763709435,74510.1216008113,75318.06267841045,18307735
2021-02-18,73702.1796875,75048.74813489648,73702.1796875,74689.66321559074,21327683
2021-02-19,74151.015625,74330.55803571429,72714.67633928571,73881.70200892857,25880879
2021-02-22,73791.9453125,75587.36977265814,73791.9453125,75228.28488062652,25419886
2021-02-23,73612.3984375,74420.33939596037,72804.45747903964,72894.22869664634,20587314
2021-02-24,73612.3984375,75048.73791920731,72983.99991425306,73432.85600228659,26807651
2021-02-25,76574.8515625,76664.62278355804,74510.1134781653,75407.82568874561,34155986
2021-02-26,74061.265625,74869.20670454546,73612.40946969697,74330.57931818182,38520800
2021-03-02,75048.7421875,76574.85297360945,74510.11485122608,76395.31052818481,33498180
2021-03-03,75407.84375,75407.84375,74330.58883928572,74958.98753720238,19882132
2021-03-04,73971.4921875,74689.6620145631,73791.94973073422,74151.03464426578,24348331
2021-03-05,73702.1796875,74151.03583663216,72804.4673892357,72804.4673892357,20508971
2021-03-08,73612.3984375,74510.11061356707,73253.31356707317,74420.33939596037,17641256
2021-03-09,73073.7734375,73522.62953969595,72355.6036739865,73073.7734375,25420764
2021-03-10,72624.921875,74061.26149181087,72445.37942289864,73971.49026576019,20038422
2021-03-11,73612.3984375,74061.25452553354,72714.68626143293,72714.68626143293,23818297
2021-03-12,74330.5703125,74958.96885378925,73971.48543176329,74599.88397305254,13530573
2021-03-15,73432.875,74420.35864914425,73432.875,74330.58740831296,13735798
2021-03-16,74330.5703125,74510.11275286836,73702.17177121075,73791.94299139493,12293537
2021-03-17,73881.71875,74420.34610419198,73612.405072904,74330.57487849332,11625146
2021-03-18,74420.34375,75228.2847557298,74151.0300814234,74330.57252714114,18585244
2021-03-19,73522.65625,74061.28376831501,73432.8849969475,73702.198756105,15869700
2021-03-22,73612.3984375,73881.71209032013,73343.08478467989,73612.3984375,12670506
2021-03-23,73432.875,74420.35864914425,73432.875,74151.04492665036,13299907
2021-03-24,72714.6796875,73253.30694444444,72445.36605902779,72714.6796875,17926638
2021-03-25,72894.234375,73702.17539639778,72535.14947660099,72714.6919258005,14758826
2021-03-26,73163.546875,73253.3180981595,72714.69075920245,73073.7756518405,12845778
2021-03-29,73253.3125,73343.08371629902,72714.68520220589,73343.08371629902,14952134
2021-03-30,74119.8515625,74210.02169822081,73308.32034101278,73578.83074817518,13121698
2021-03-31,73398.4921875,74570.70397919226,73398.4921875,74300.19356572483,17240518
2021-04-01,74751.046875,74841.21701598311,73939.51560615198,74390.36631106754,18676461
2021-04-02,76464.28125,76824.96182193396,75652.74996314858,75742.92010613208,22997538
2021-04-05,77005.3046875,77546.32556352459,76464.28381147541,77365.98527151639,16255990
2021-04-06,77546.3203125,77726.66059229651,76734.7890534157,77726.66059229651,19042023
2021-04-07,77185.625,77726.6457359813,77005.28475467289,77636.47561331776,17885538
2021-04-08,76374.1171875,77275.81868912338,75833.09628652596,77275.81868912338,19244259
2021-04-09,75382.234375,76554.4461535586,75201.8941013756,76374.1058799342,18193707
2021-04-12,75021.5625,75833.09382512019,74931.39235276442,75833.09382512019,12915282
2021-04-13,75742.9296875,76193.78045944941,74660.88783482143,74841.22814360118,15238206
2021-04-14,75742.9296875,76013.44015066964,75201.90876116071,75742.9296875,13794652
2021-04-15,75833.1015625,76193.78218824316,75201.91046744946,75472.42093675684,16377412
2021-04-16,75652.75,76374.1111442193,75382.23957091775,76374.1111442193,15429522
2021-04-19,75111.7265625,75742.9175420168,75111.7265625,75562.57726215487,15287311
2021-04-20,75652.75,75742.92014302741,74931.3888557807,75111.72914183552,15521965
2021-04-21,74480.5234375,75292.05456454298,74390.353312273,75111.71431408898,21636079
2021-04-22,74300.1953125,74841.21615215413,74300.1953125,74751.04601221177,13934746
2021-04-23,74660.875,74751.04513888889,73578.83333333333,73849.34375,17805080
2021-04-26,75292.0625,75292.0625,74480.53128742515,74751.04169161676,15489938
2021-04-27,74751.046875,75111.72743893244,74390.36631106754,75021.55729794933,12941533
2021-04-28,74029.6875,75021.55907429964,74029.6875,75021.55907429964,15596759
2021-04-29,73669.0078125,74390.36896611078,73488.66752409731,74300.19882190942,20000973
2021-04-30,73488.6640625,74029.68490222392,73488.6640625,73849.34462231596,18673197
2021-05-03,73669.0078125,74300.19882190942,73037.81680309058,73037.81680309058,15710336
2021-05-04,74480.5234375,74480.5234375,73759.16243568402,73849.33256091102,12532550
2021-05-06,74210.0234375,74210.0234375,73669.00261049514,73669.00261049514,17047511
2021-05-07,73849.3671875,74029.70752251221,73488.68651747558,73759.1970199939,14154882
2021-05-10,75021.5625,75292.07294170673,73759.18043870192,74210.03117487981,19385027
2021-05-11,73218.15625,74480.53825431035,73127.98610683497,74390.36811114532,28996680
2021-05-12,72136.109375,73218.151015625,71955.7691015625,72857.47046875,35812268
2021-05-13,70783.5546875,71775.42615445859,70693.38455414012,71144.23522093949,31490096
2021-05-14,72226.28125,72406.62152777778,71144.23958333333,71234.40972222222,16450920
2021-05-17,71775.4296875,72947.64147887877,71414.74913630653,72857.4713410804,17740855
2021-05-18,71775.4296875,72136.11023869347,71324.57899850816,71775.4296875,17494407
2021-05-20,71685.2578125,71865.59808372642,71324.57727004717,71595.08767688679,16541828
2021-05-21,72226.28125,73488.66319444444,71955.77083333333,72226.28125,20961714
2021-05-24,71865.6171875,72496.80830457967,71685.27686833437,72226.29782583124,13398666
2021-05-25,72045.9453125,72496.79603410512,71955.77516817897,72136.11545682102,13628942
2021-05-26,71955.7890625,72586.98019462719,71865.61890076754,72496.81003289473,11984359
2021-05-27,71775.4296875,72136.11023869347,71324.57899850816,72136.11023869347,23198510
2021-05-28,72226.28125,72496.79166666666,71595.09027777778,71955.77083333333,12360199
2021-05-31,72586.953125,72677.12325310559,71775.42197204969,72406.61286878883,13321324
2021-06-01,72677.140625,73308.33167261166,72226.28987670595,72586.9704753412,14058401
2021-06-02,72857.4609375,73398.48168703589,72406.61031288677,72496.78043780942,16414644
2021-06-03,74660.875,74841.21527777778,73127.98263888889,73308.32291666666,29546007
2021-06-04,74119.8515625,74570.70224110402,73488.66061245438,74570.70224110402,18112259
2021-06-07,73849.3671875,74660.89869505494,73578.85668498169,74570.72852754884,16496197
2021-06-08,73849.3671875,74480.55836004273,73759.1970199939,74210.04785752442,12781226
2021-06-09,73127.984375,73939.51564426634,73127.984375,73488.66493911837,14908823
2021-06-10,73037.8046875,73398.4852044753,72947.63455825618,73308.31507523148,17586995
2021-06-11,73037.8046875,73668.99559220679,72767.29429976852,73218.14494598765,14087962
2021-06-14,72586.953125,72947.63363742236,72586.953125,72857.46350931677,10550078
2021-06-15,72947.6484375,73218.15887669963,72677.13799830037,72947.6484375,10075685
2021-06-16,73759.1875,73849.35765586796,73127.9964089242,73488.67703239608,14999855
2021-06-17,72947.6484375,73308.3290230995,72767.30814470025,73127.98873029975,14007385
2021-06-18,72586.953125,73127.97389363355,72586.953125,73127.97389363355,14916721
2021-06-21,72045.9453125,72136.11545682102,71775.43487953692,71865.60502385795,16063340
2021-06-22,72136.109375,72406.61978515625,72045.93923828125,72316.4496484375,11773365
2021-06-23,72226.28125,72677.13194444444,72045.94097222222,72586.96180555555,13856548
2021-06-24,73218.15625,73398.49653633004,72226.28467518472,72496.7951046798,18771080
2021-06-25,73578.828125,73849.33852251839,73218.1475949755,73488.65799249387,13481405
2021-06-28,73849.3671875,73939.5373550061,73578.85668498169,73669.02685248779,11578529
2021-06-29,73361.1796875,74357.44262152778,73180.04097222222,74176.30390625,15744317
2021-06-30,73089.4609375,73723.44634835812,73089.4609375,73451.7383151332,13288643
2021-07-01,72546.046875,72998.89360955056,72455.47752808989,72908.32426264045,13382882
2021-07-02,72455.4765625,72817.7539453125,72364.90721679688,72455.4765625,8753097
2021-07-05,72817.765625,73180.0430659204,72455.4881840796,72546.0575443097,8330969
2021-07-06,73542.3125,73542.3125,72908.32704741378,72998.89639778325,12131651
2021-07-07,73180.03125,73632.87797803218,72727.18452196782,73542.30863242575,15992202
2021-07-08,72364.90625,73542.30772841051,72364.90625,73451.7383839174,16660998
2021-07-09,71912.078125,72274.35559666247,71549.80065333753,72093.21686083123,22720577
2021-07-12,72183.7734375,72455.48149309913,72002.63473376725,72364.91214123275,9768108
2021-07-13,72274.34375,72636.6211622807,72274.34375,72455.48245614035,9863450
2021-07-14,72002.625,72093.19433962264,71640.34764150943,71912.05566037736,11575636
2021-07-15,72998.90625,72998.90625,72002.64326147642,72274.35134925558,13766279
2021-07-16,72274.34375,72546.05180921053,72002.63569078948,72546.05180921053,10859399
2021-07-19,71549.7890625,71730.92776898734,71368.65035601266,71640.35841574367,13155414
2021-07-20,71549.7890625,71549.7890625,71006.37294303798,71096.94229628165,12456646
2021-07-21,71096.9609375,71640.37719944268,71096.9609375,71549.80782245223,12355296
2021-07-22,72183.7734375,72274.34278936638,71459.21862256901,71549.78797443538,12618790
2021-07-23,71821.515625,72364.93188445775,71730.9462484237,72183.79313130517,9098910
2021-07-26,71368.6484375,72002.63389316307,71368.6484375,71912.06454235406,10040975
2021-07-27,71096.9609375,71912.08533041402,71096.9609375,71730.94657643313,11427693
2021-07-28,71730.953125,71730.953125,70734.68988715278,70915.82865767046,12743417
2021-07-29,71549.7890625,71912.06647547468,71368.65035601266,71368.65035601266,14360453
2021-07-30,71096.9609375,71459.23844546179,71096.9609375,71459.23844546179,13823411
2021-08-02,71821.515625,72002.65437815258,71278.09936554225,71730.9462484237,11739124
2021-08-03,73723.4375,73723.4375,71821.48149570025,71912.05082923833,24339360
2021-08-04,75081.9921875,75263.13089000301,74085.72932373342,74448.00672873945,25642368
2021-08-05,74357.4296875,75444.26179011876,74266.8603456151,75444.26179011876,18485469
2021-08-06,73814.03125,74719.72488496933,73632.89252300614,74176.30870398773,13342623
2021-08-09,73814.03125,74538.58615797547,73270.61506901841,73814.03125,15522581
2021-08-10,72636.6171875,74629.14284600997,72546.04783938591,74538.57349789588,20362639
2021-08-11,71096.9609375,72274.36283837579,71096.9609375,72093.22408439491,30241137
2021-08-12,69738.3984375,70825.23062094157,69647.82908887988,69828.96778612013,42365223
2021-08-13,67383.6171875,68832.72723454301,67111.90905367942,68651.58847866263,61270643
2021-08-17,67202.46875,68017.59303402965,67021.33002021564,67021.33002021564,30944847
2021-08-18,66930.75,67564.73545331528,66206.19519621109,66930.75,29192631
2021-08-19,66206.1953125,67383.59687072503,66206.1953125,66568.47271503077,22166298
2021-08-20,65843.9296875,66930.7620894945,65662.79095383425,66568.484622163,22364803
2021-08-23,66387.3359375,67021.32141030014,66115.6278777285,66387.3359375,19384648
2021-08-24,68470.4375,68561.00686177248,66930.75834986773,66930.75834986773,21016913
2021-08-25,68561.0,69376.12417437253,67836.44517833553,69013.84676354029,22319664
2021-08-26,67564.7578125,69013.86789963137,67564.7578125,68923.29851918566,16671494
2021-08-27,67293.03125,67927.01673956931,66840.18447173621,67293.03125,15172748
2021-08-30,67564.7578125,68379.88223651139,67202.48029071715,68289.31285606569,12686999
2021-08-31,69466.703125,69466.703125,67293.03835968058,67836.45455101042,24630370
2021-09-01,69557.25,69828.9580078125,68742.1259765625,69466.6806640625,16114775
2021-09-02,68832.6875,69557.24210526315,68560.97952302631,69557.24210526315,15347486
2021-09-03,69376.125,69466.6943537859,68832.7088772846,69194.9862924282,12096419
2021-09-06,70010.1171875,70281.82527490298,69376.1316502264,69557.27037516171,12861180
